City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Georgetown,MY,79.9,overcast clouds,5.4112,100.3354,Cititel Penang
2,San Cristobal,VE,78.46,few clouds,7.7669,-72.225,Posada Villaven C.A.
13,Fortuna,US,79.41,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
15,Ewa Beach,US,84.09,overcast clouds,21.3156,-158.0072,Uncle Junior Robert
18,Kirakira,SB,82.56,overcast clouds,-10.4544,161.9205,SanBiz Lodge
21,Jamestown,US,79.84,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
25,Cayenne,GF,83.08,light rain,4.9333,-52.3333,Hôtel Le Dronmi
32,Progreso,MX,88.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
36,Avarua,CK,75.06,scattered clouds,-21.2078,-159.775,Paradise Inn
40,Bubaque,GW,81.3,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
45,Kapaa,US,80.47,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
46,Hilo,US,83.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
49,Keti Bandar,PK,82.45,scattered clouds,24.1447,67.4497,Haji laloo memon house
51,Shelburne,CA,78.75,clear sky,44.0787,-80.2041,The Retreat at the Farm
52,Kavaratti,IN,80.71,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
54,Sibolga,ID,75.74,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
57,Half Moon Bay,US,84.92,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
58,Vaini,TO,76.26,clear sky,-21.2,-175.2,Keleti Beach Resort
61,Atuona,PF,77.97,few clouds,-9.8,-139.0333,Villa Enata
64,Puri,IN,82.4,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
66,Namatanai,PG,81.61,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
69,Wanning,CN,78.42,scattered clouds,18.8003,110.3967,Paradise Hotel
71,Roma,US,79.9,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
77,Cartagena,CO,84.65,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
78,Hamilton,US,89.26,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
81,Eureka,US,79.66,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
88,Valverde Del Camino,ES,75.72,broken clouds,37.5751,-6.7543,HOTEL MONTEAROMA (ulamde hotelera S.L.)
91,Fare,PF,78.53,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
92,Lompoc,US,76.78,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
96,Lorengau,PG,83.55,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
97,Qrendi,MT,79.11,scattered clouds,35.8347,14.4583,M'Anglu
103,Roanoke Rapids,US,83.21,light rain,36.4615,-77.6542,Hampton Inn Roanoke Rapids
105,Hun,LY,80.13,clear sky,29.1268,15.9477,Alrwasi Hotel
106,Butaritari,KI,81.41,broken clouds,3.0707,172.7902,Isles Sunset Lodge
107,Port Blair,IN,79.43,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
112,Pacific Grove,US,79.75,scattered clouds,36.6177,-121.9166,Lovers Point Inn
117,Santiago Del Estero,AR,77.29,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
120,Sinnamary,GF,79.92,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
126,Matara,LK,77.67,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
128,Faanui,PF,79.16,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
