City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Georgetown,MY,5.4112,100.3354,79.9,88,96,4.7,overcast clouds
1,Ronchin,FR,50.6,3.1,61.21,65,99,5.03,overcast clouds
2,San Cristobal,VE,7.7669,-72.225,78.46,57,11,5.5,few clouds
3,Port Alfred,ZA,-33.5906,26.891,58.15,55,83,3.4,broken clouds
4,New Norfolk,AU,-42.7826,147.0587,53.92,86,71,1.01,broken clouds
5,Mar Del Plata,AR,-38.0023,-57.5575,57.74,78,0,10.45,clear sky
6,Yellowknife,CA,62.456,-114.3525,48.74,52,49,11.81,scattered clouds
7,Vila Velha,BR,-20.3297,-40.2925,73.54,80,9,7.07,clear sky
8,Rikitea,PF,-23.1203,-134.9692,71.94,74,60,11.05,broken clouds
9,Barrow,US,71.2906,-156.7887,31.01,88,100,10.6,overcast clouds
10,Constitucion,CL,-35.3333,-72.4167,55.45,75,93,14.0,overcast clouds
11,Mount Isa,AU,-20.7333,139.5,73.09,25,5,9.01,clear sky
12,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,56.66,91,51,7.83,broken clouds
13,Fortuna,US,40.5982,-124.1573,79.41,44,66,1.99,broken clouds
14,San Patricio,US,28.017,-97.5169,97.02,42,6,6.89,clear sky
15,Ewa Beach,US,21.3156,-158.0072,84.09,67,99,21.97,overcast clouds
16,Busselton,AU,-33.65,115.3333,56.05,89,99,14.34,overcast clouds
17,Port Elizabeth,ZA,-33.918,25.5701,52.11,69,33,3.42,scattered clouds
18,Kirakira,SB,-10.4544,161.9205,82.56,75,97,11.72,overcast clouds
19,Bluff,NZ,-46.6,168.3333,42.8,68,11,5.1,few clouds
20,Luderitz,NA,-26.6481,15.1594,56.89,74,0,12.75,clear sky
21,Jamestown,US,42.097,-79.2353,79.84,84,27,4.36,scattered clouds
22,Port-Cartier,CA,50.0334,-66.8654,59.76,73,4,9.22,clear sky
23,Nauen,DE,52.607,12.8737,59.04,78,98,6.64,overcast clouds
24,Lebu,CL,-37.6167,-73.65,52.2,87,98,10.16,overcast clouds
25,Cayenne,GF,4.9333,-52.3333,83.08,80,20,4.0,light rain
26,Castro,BR,-24.7911,-50.0119,58.35,99,98,4.0,overcast clouds
27,Puerto Ayora,EC,-0.7393,-90.3518,70.56,89,97,5.99,overcast clouds
28,Kruisfontein,ZA,-34.0033,24.7314,49.89,86,16,3.27,few clouds
29,Ilulissat,GL,69.2167,-51.1,16.68,70,6,5.14,clear sky
30,Kangaatsiaq,GL,68.3065,-53.4641,31.1,59,1,10.89,clear sky
31,Punta Arenas,CL,-53.15,-70.9167,39.49,82,97,2.35,overcast clouds
32,Progreso,MX,21.2833,-89.6667,88.11,79,97,14.0,overcast clouds
33,Laukaa,RU,58.7372,29.8453,38.66,78,37,4.88,scattered clouds
